Animal_ID,Species,Breed,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Mean_EC,Milk_pH,Milk_Temperature_C,Milk_Yield_Liters,Somatic_Cell_Count_Actual,Risk_Tier_Label,Risk_Tier_Code
IN-DAIRY-1098,Buffalo,Murrah_Buffalo,3,4,163,0,4.839,6.594,38.5,11.71,43823,No Risk,0
IN-DAIRY-1099,Buffalo,Murrah_Buffalo,5,5,70,0,5.507,7.136,40.63,13.2,2106145,High Risk,3
IN-DAIRY-1100,Cattle,Sahiwal,8,1,194,2,4.658,6.643,38.99,9.68,52473,No Risk,0
IN-DAIRY-1101,Cattle,HF_Cross,9,4,247,0,4.774,6.577,38.55,12.69,504088,Moderate Risk,2
IN-DAIRY-1102,Buffalo,Murrah_Buffalo,8,3,183,2,4.775,6.69,38.88,15.15,49635,No Risk,0
IN-DAIRY-1103,Cattle,HF_Cross,5,2,213,1,4.718,6.591,38.79,20.05,58598,No Risk,0
IN-DAIRY-1104,Buffalo,Murrah_Buffalo,4,3,154,0,4.706,6.653,38.74,9.65,514002,Moderate Risk,2
IN-DAIRY-1105,Cattle,HF_Cross,7,1,197,0,5.223,6.911,39.42,7.57,933697,Moderate Risk,2
IN-DAIRY-1106,Cattle,Jersey_Cross,9,1,192,1,4.848,6.632,38.7,12.21,45241,No Risk,0
IN-DAIRY-1107,Cattle,HF_Cross,3,3,119,3,4.999,6.692,38.19,15.16,63609,No Risk,0
IN-DAIRY-1108,Cattle,HF_Cross,5,2,114,0,4.85,6.693,38.43,17.56,69051,No Risk,0
IN-DAIRY-1109,Buffalo,Murrah_Buffalo,9,2,221,0,4.949,6.664,38.51,10.07,46501,No Risk,0
IN-DAIRY-1110,Cattle,HF_Cross,4,5,224,2,5.802,7.332,40.12,10.18,2276099,High Risk,3
IN-DAIRY-1111,Cattle,Jersey_Cross,8,1,137,2,5.104,6.724,38.87,10.13,296038,Low Risk,1
IN-DAIRY-1112,Cattle,HF_Cross,4,1,230,1,4.942,6.606,38.41,16.25,84285,No Risk,0
IN-DAIRY-1113,Cattle,Sahiwal,7,3,128,0,4.953,6.559,38.3,9.4,46521,No Risk,0
IN-DAIRY-1114,Buffalo,Murrah_Buffalo,5,5,214,0,4.931,6.618,38.78,12.49,69134,No Risk,0
IN-DAIRY-1115,Cattle,Sahiwal,3,5,82,1,4.945,6.665,38.5,12.54,47456,No Risk,0
IN-DAIRY-1116,Cattle,Gir,9,1,187,3,5.364,7.036,39.98,8.62,779329,Moderate Risk,2
IN-DAIRY-1117,Cattle,Sahiwal,8,2,116,1,4.66,6.681,38.59,6.83,57913,No Risk,0
IN-DAIRY-1118,Cattle,HF_Cross,6,5,197,1,4.852,6.499,38.44,20.08,76642,No Risk,0
IN-DAIRY-1119,Cattle,HF_Cross,7,1,104,2,5.139,6.711,38.52,16.59,283823,Low Risk,1
IN-DAIRY-1120,Cattle,Jersey_Cross,9,2,124,1,4.871,6.622,38.78,12.73,50614,No Risk,0
IN-DAIRY-1121,Cattle,Jersey_Cross,7,3,246,0,4.967,6.662,38.74,9.99,66420,No Risk,0
IN-DAIRY-1122,Cattle,Gir,6,2,203,1,4.87,6.621,38.88,6.59,47715,No Risk,0
IN-DAIRY-1123,Cattle,Gir,5,2,107,1,4.896,6.552,38.26,7.22,44913,No Risk,0
IN-DAIRY-1124,Cattle,HF_Cross,3,1,130,0,4.921,6.642,38.53,16.31,48231,No Risk,0
IN-DAIRY-1125,Cattle,HF_Cross,6,2,98,0,4.897,6.639,38.4,15.64,41155,No Risk,0
IN-DAIRY-1126,Cattle,Gir,3,2,192,0,4.879,6.552,38.53,9.47,46613,No Risk,0
IN-DAIRY-1127,Cattle,Jersey_Cross,7,2,219,0,5.121,6.766,39.34,11.43,240371,Low Risk,1
IN-DAIRY-1128,Cattle,Sahiwal,4,3,219,3,4.846,6.689,38.72,7.7,72165,No Risk,0
IN-DAIRY-1129,Cattle,Gir,3,4,189,2,5.003,6.61,38.8,10.01,89513,No Risk,0
IN-DAIRY-1130,Cattle,Sahiwal,7,3,140,0,4.855,6.642,38.35,8.92,72013,No Risk,0
IN-DAIRY-1131,Cattle,HF_Cross,9,4,73,0,4.967,6.636,37.95,17.25,56908,No Risk,0
IN-DAIRY-1132,Cattle,Sahiwal,5,5,122,3,4.882,6.619,38.54,10.58,40386,No Risk,0
IN-DAIRY-1133,Buffalo,Murrah_Buffalo,9,2,84,2,4.857,6.575,38.52,10.41,78519,No Risk,0
IN-DAIRY-1134,Cattle,Sahiwal,8,2,48,1,4.901,6.605,38.77,7.83,673506,Moderate Risk,2
IN-DAIRY-1135,Cattle,Jersey_Cross,6,4,77,0,5.02,6.622,38.31,10.74,617923,Moderate Risk,2
IN-DAIRY-1136,Buffalo,Murrah_Buffalo,9,3,119,3,5.341,6.829,39.81,9.33,420115,Moderate Risk,2
IN-DAIRY-1137,Cattle,HF_Cross,9,2,168,2,4.835,6.589,38.64,10.57,86688,No Risk,0
IN-DAIRY-1138,Cattle,Sahiwal,7,5,205,0,4.716,6.665,38.49,8.69,74623,No Risk,0
IN-DAIRY-1139,Cattle,HF_Cross,5,2,228,0,4.92,6.579,38.69,15.8,69567,No Risk,0
IN-DAIRY-1140,Cattle,HF_Cross,4,5,167,0,5.014,6.68,38.57,14.93,208006,Low Risk,1
IN-DAIRY-1141,Cattle,Jersey_Cross,6,5,89,0,4.881,6.601,38.79,12.87,760653,Moderate Risk,2
IN-DAIRY-1142,Cattle,HF_Cross,6,3,152,1,4.831,6.548,38.82,20.82,59631,No Risk,0
IN-DAIRY-1143,Cattle,HF_Cross,5,2,99,1,4.738,6.632,38.64,15.34,61357,No Risk,0
IN-DAIRY-1144,Cattle,Gir,5,1,152,0,4.866,6.658,38.8,9.05,66904,No Risk,0
IN-DAIRY-1145,Cattle,HF_Cross,8,2,191,0,4.922,6.608,38.95,15.56,55221,No Risk,0
IN-DAIRY-1146,Cattle,HF_Cross,6,3,142,0,5.127,6.668,38.77,10.91,235080,Low Risk,1
IN-DAIRY-1147,Cattle,Sahiwal,5,5,113,2,5.358,7.016,39.74,9.82,533485,Moderate Risk,2
IN-DAIRY-1148,Cattle,HF_Cross,6,3,171,0,5.173,6.909,39.64,14.43,513409,Moderate Risk,2
IN-DAIRY-1149,Cattle,Sahiwal,4,3,178,0,5.06,6.629,38.57,7.2,612086,Moderate Risk,2
IN-DAIRY-1150,Cattle,HF_Cross,5,5,242,0,4.897,6.602,38.55,11.7,883773,Moderate Risk,2
IN-DAIRY-1151,Cattle,HF_Cross,8,4,173,1,5.506,7.27,40.29,12.2,2737277,High Risk,3
IN-DAIRY-1152,Cattle,Jersey_Cross,3,2,120,0,4.866,6.596,38.74,11.31,75969,No Risk,0
IN-DAIRY-1153,Cattle,HF_Cross,4,2,237,1,5.104,6.594,38.73,11.29,63367,No Risk,0
IN-DAIRY-1154,Cattle,Jersey_Cross,3,4,74,0,5.167,6.71,38.73,16.57,227510,Low Risk,1
IN-DAIRY-1155,Cattle,HF_Cross,4,3,131,2,4.8,6.627,38.83,18.21,51323,No Risk,0
IN-DAIRY-1156,Cattle,HF_Cross,7,3,194,1,5.285,6.681,39.05,14.02,195049,Low Risk,1
IN-DAIRY-1157,Cattle,HF_Cross,3,3,190,3,5.276,7.012,39.56,8.93,725913,Moderate Risk,2
IN-DAIRY-1158,Cattle,HF_Cross,9,2,182,2,5.775,7.102,40.22,17.58,1538875,High Risk,3
IN-DAIRY-1159,Cattle,Sahiwal,6,4,228,0,4.891,6.636,38.51,11.5,90566,No Risk,0
IN-DAIRY-1160,Cattle,HF_Cross,7,1,248,0,4.981,6.708,38.32,15.92,42426,No Risk,0
IN-DAIRY-1161,Cattle,Jersey_Cross,8,3,224,0,5.6,7.237,39.97,8.47,2212967,High Risk,3
IN-DAIRY-1162,Cattle,Jersey_Cross,8,1,177,0,4.863,6.675,38.47,11.2,71567,No Risk,0
IN-DAIRY-1163,Cattle,HF_Cross,6,1,88,0,4.761,6.641,38.43,14.2,72191,No Risk,0
IN-DAIRY-1164,Cattle,Sahiwal,7,3,131,2,5.009,6.559,38.77,9.81,801749,Moderate Risk,2
IN-DAIRY-1165,Cattle,Jersey_Cross,8,2,173,1,5.064,6.567,38.91,13.57,79355,No Risk,0
IN-DAIRY-1166,Buffalo,Murrah_Buffalo,4,4,108,0,5.042,6.575,38.45,12.56,65987,No Risk,0
IN-DAIRY-1167,Cattle,Jersey_Cross,3,2,244,0,4.869,6.606,38.78,10.66,70382,No Risk,0
IN-DAIRY-1168,Cattle,Jersey_Cross,9,1,246,0,4.614,6.612,38.64,10.09,44270,No Risk,0
IN-DAIRY-1169,Cattle,Gir,5,3,245,0,4.824,6.738,38.48,7.63,44515,No Risk,0
IN-DAIRY-1170,Cattle,Jersey_Cross,8,3,113,1,4.808,6.608,38.61,13.79,69360,No Risk,0
IN-DAIRY-1171,Cattle,HF_Cross,7,3,108,1,4.906,6.605,38.62,19.71,814176,Moderate Risk,2
IN-DAIRY-1172,Cattle,Gir,8,4,239,1,4.721,6.616,39.18,9.13,56822,No Risk,0
IN-DAIRY-1173,Buffalo,Murrah_Buffalo,3,5,69,1,4.92,6.626,38.69,13.13,70033,No Risk,0
IN-DAIRY-1174,Buffalo,Murrah_Buffalo,8,1,77,2,4.835,6.556,38.83,9.19,51453,No Risk,0
IN-DAIRY-1175,Cattle,Gir,5,3,73,0,4.986,6.608,38.7,13.05,63854,No Risk,0
IN-DAIRY-1176,Cattle,HF_Cross,3,3,179,0,5.051,6.587,38.65,15.75,48729,No Risk,0
IN-DAIRY-1177,Cattle,Jersey_Cross,3,4,89,0,4.752,6.59,38.44,11.49,57538,No Risk,0
IN-DAIRY-1178,Cattle,Jersey_Cross,3,3,214,2,4.688,6.546,38.59,15.26,81196,No Risk,0
IN-DAIRY-1179,Cattle,HF_Cross,5,4,122,3,4.912,6.566,38.7,21.79,45431,No Risk,0
IN-DAIRY-1180,Cattle,HF_Cross,5,4,145,0,4.927,6.593,38.52,13.84,49364,No Risk,0
IN-DAIRY-1181,Cattle,HF_Cross,6,4,148,1,4.881,6.562,38.29,15.36,61716,No Risk,0
IN-DAIRY-1182,Cattle,Gir,8,2,235,1,5.095,6.775,38.25,10.0,311562,Low Risk,1
IN-DAIRY-1183,Buffalo,Murrah_Buffalo,8,1,152,3,5.14,6.668,38.51,10.25,348957,Low Risk,1
IN-DAIRY-1184,Cattle,Gir,6,1,246,2,5.12,6.766,38.71,8.03,249250,Low Risk,1
IN-DAIRY-1185,Cattle,HF_Cross,7,4,118,2,4.942,6.667,38.55,19.5,104543,No Risk,0
IN-DAIRY-1186,Cattle,HF_Cross,9,1,208,0,4.846,6.658,38.5,14.57,74835,No Risk,0
IN-DAIRY-1187,Cattle,Jersey_Cross,6,1,58,1,5.169,6.895,39.58,11.77,442796,Moderate Risk,2
IN-DAIRY-1188,Cattle,Gir,7,5,216,3,4.818,6.551,38.04,13.22,63732,No Risk,0
IN-DAIRY-1189,Cattle,Gir,5,3,212,1,5.002,6.642,38.33,9.74,67861,No Risk,0
IN-DAIRY-1190,Buffalo,Murrah_Buffalo,8,5,65,0,4.918,6.587,38.73,17.27,32869,No Risk,0
IN-DAIRY-1191,Cattle,HF_Cross,4,1,161,2,4.786,6.571,38.88,19.22,44071,No Risk,0
IN-DAIRY-1192,Cattle,HF_Cross,8,4,128,1,4.862,6.616,38.1,19.42,50193,No Risk,0
IN-DAIRY-1193,Cattle,Gir,7,5,112,3,4.947,6.64,38.77,9.97,75355,No Risk,0
IN-DAIRY-1194,Cattle,HF_Cross,4,2,197,0,4.943,6.66,38.77,16.73,60572,No Risk,0
IN-DAIRY-1195,Cattle,HF_Cross,9,4,242,2,4.713,6.648,38.61,17.94,52572,No Risk,0
IN-DAIRY-1196,Cattle,Gir,8,3,145,0,4.908,6.636,38.85,4.86,60399,No Risk,0
IN-DAIRY-1197,Cattle,HF_Cross,7,2,48,1,4.763,6.563,38.8,17.14,45574,No Risk,0
IN-DAIRY-1198,Cattle,HF_Cross,3,1,91,0,5.053,6.751,38.7,18.47,200973,Low Risk,1
IN-DAIRY-1199,Cattle,Gir,8,5,228,0,4.992,6.619,38.64,12.01,76725,No Risk,0
IN-DAIRY-1200,Cattle,Gir,3,3,93,0,5.212,6.757,38.42,7.72,232749,Low Risk,1
IN-DAIRY-1201,Cattle,Jersey_Cross,7,2,183,1,4.724,6.634,38.62,15.58,50195,No Risk,0
IN-DAIRY-1202,Buffalo,Murrah_Buffalo,5,1,205,0,4.733,6.563,38.47,10.84,50444,No Risk,0
IN-DAIRY-1203,Cattle,Sahiwal,9,5,175,0,4.864,6.6,38.41,12.28,57288,No Risk,0
IN-DAIRY-1204,Cattle,Jersey_Cross,6,2,106,0,4.972,6.595,38.46,14.28,38238,No Risk,0
IN-DAIRY-1205,Cattle,HF_Cross,6,3,93,1,4.744,6.586,38.75,18.38,78074,No Risk,0
IN-DAIRY-1206,Cattle,Gir,5,3,235,0,4.847,6.682,38.72,7.79,34740,No Risk,0
IN-DAIRY-1207,Cattle,HF_Cross,6,5,232,1,4.884,6.621,38.91,16.73,47799,No Risk,0
IN-DAIRY-1208,Buffalo,Murrah_Buffalo,5,4,160,0,4.802,6.632,38.34,13.54,46319,No Risk,0
IN-DAIRY-1209,Cattle,Jersey_Cross,4,4,126,0,4.823,6.586,38.26,15.74,57218,No Risk,0
IN-DAIRY-1210,Cattle,HF_Cross,8,1,68,0,5.507,6.998,39.63,13.78,626999,Moderate Risk,2
IN-DAIRY-1211,Cattle,HF_Cross,9,5,129,0,4.796,6.588,38.35,12.42,540180,Moderate Risk,2
IN-DAIRY-1212,Buffalo,Murrah_Buffalo,8,3,144,0,4.794,6.646,38.44,10.45,65605,No Risk,0
IN-DAIRY-1213,Cattle,Gir,6,1,143,0,5.67,7.067,40.96,5.92,3056412,High Risk,3
IN-DAIRY-1214,Cattle,Jersey_Cross,6,3,183,2,5.315,6.947,39.88,9.53,700553,Moderate Risk,2
IN-DAIRY-1215,Cattle,HF_Cross,8,5,51,2,4.932,6.652,38.5,14.31,44724,No Risk,0
IN-DAIRY-1216,Cattle,Gir,5,4,224,0,4.795,6.604,38.82,10.05,61522,No Risk,0
IN-DAIRY-1217,Cattle,HF_Cross,4,2,59,0,4.901,6.655,38.59,16.5,90400,No Risk,0
IN-DAIRY-1218,Cattle,HF_Cross,5,3,151,0,5.368,6.972,39.76,16.68,561361,Moderate Risk,2
IN-DAIRY-1219,Cattle,Jersey_Cross,3,5,73,0,4.902,6.661,38.62,15.42,38002,No Risk,0
IN-DAIRY-1220,Cattle,HF_Cross,6,5,59,0,5.045,6.558,38.48,20.09,45489,No Risk,0
IN-DAIRY-1221,Cattle,Gir,8,1,164,0,4.952,6.573,38.72,8.25,76625,No Risk,0
IN-DAIRY-1222,Cattle,HF_Cross,5,3,119,0,4.961,6.538,38.92,15.95,59373,No Risk,0
IN-DAIRY-1223,Cattle,Jersey_Cross,4,4,246,0,4.931,6.598,38.36,14.81,63150,No Risk,0
IN-DAIRY-1224,Cattle,Jersey_Cross,7,1,97,1,4.841,6.63,38.46,11.73,45321,No Risk,0
IN-DAIRY-1225,Cattle,Gir,7,4,246,0,4.702,6.613,38.35,9.69,44241,No Risk,0
IN-DAIRY-1226,Cattle,Jersey_Cross,7,1,166,0,4.68,6.665,38.29,10.49,54317,No Risk,0
IN-DAIRY-1227,Cattle,HF_Cross,5,4,75,0,5.283,6.79,39.81,19.48,808138,Moderate Risk,2
IN-DAIRY-1228,Cattle,HF_Cross,5,2,235,1,5.191,6.74,39.63,12.17,771582,Moderate Risk,2
IN-DAIRY-1229,Cattle,Sahiwal,8,3,204,2,4.919,6.616,38.5,8.65,53509,No Risk,0
IN-DAIRY-1230,Cattle,HF_Cross,9,1,61,2,4.873,6.639,38.82,17.0,73660,No Risk,0
IN-DAIRY-1231,Cattle,Sahiwal,5,1,220,0,5.351,6.873,39.53,9.88,408660,Moderate Risk,2
