Animal_ID,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Somatic_Cell_Count_Actual,Somatic_Cell_Score,Mean_EC,Quarter_Differential_Ratio,Milk_pH,Milk_Temperature_C,Udder_Thermal_Asymmetry_C,Milk_Yield_Liters,Fat_Pct,Protein_Pct,Lactose_Pct,Rumination_Minutes,Lying_Hours,Activity_Index,Bedding_Hygiene_Score,Teat_Dipping_Practiced,THI_Index,Yield_Drop_Pct,Early_Warning_Lead_Days,Risk_Tier_Label,Risk_Tier_Code,Mastitis_Target
Moo-10052,4.0,5,242,0,161160,3.54,5.28,1.24,6.71,39.06,0.29,327.0,3.95,3.57,4.73,399,12.0,104.1,3,0,72.6,0.0,11.2,Low Risk,1,0
Moo-10053,3.0,4,229,0,150000,2.81,5.23,1.23,6.73,38.76,0.3,167.0,3.05,2.64,4.59,426,9.8,120.2,3,1,73.0,0.0,11.1,Low Risk,1,0
Moo-10054,4.0,1,84,1,750000,5.5,6.11,2.35,7.23,40.27,1.65,435.0,3.62,3.0,4.82,275,8.6,180.2,2,1,77.1,0.0,3.0,High Risk,3,1
Moo-10055,4.0,1,78,2,72316,2.67,4.62,1.05,6.61,38.15,0.17,314.0,3.95,4.11,4.61,454,12.1,98.7,5,1,73.8,4.6,-1.0,No Risk,0,0
Moo-10056,2.5,4,22,2,150000,3.45,5.06,1.26,6.59,38.83,0.5,395.0,4.02,3.42,5.04,400,10.7,130.0,3,0,75.8,0.0,13.9,Low Risk,1,0
Moo-10057,5.0,3,195,0,482330,5.4,5.46,1.45,6.95,39.2,1.09,297.5,4.09,3.63,4.73,362,9.5,135.8,2,0,75.3,13.0,8.4,Moderate Risk,2,1
Moo-10058,3.0,2,152,0,471133,5.05,5.43,1.52,6.97,39.56,1.02,295.5,4.3,3.79,4.77,410,9.1,118.6,1,0,76.7,24.0,8.2,Moderate Risk,2,1
Moo-10059,4.0,3,242,0,150000,2.95,5.24,1.26,6.68,38.9,0.28,413.0,4.67,3.21,4.98,430,11.3,112.7,2,0,71.0,21.5,11.0,Low Risk,1,0
Moo-10060,5.0,2,212,0,83193,2.7,4.85,1.08,6.56,38.43,0.21,378.0,4.33,3.37,4.86,515,10.9,101.1,3,1,75.6,12.5,-1.0,No Risk,0,0
Moo-10061,3.0,2,23,0,62093,1.9,4.73,1.09,6.62,38.19,0.06,422.0,4.93,4.4,4.78,519,11.4,106.8,3,1,71.8,0.9,-1.0,No Risk,0,0
Moo-10062,5.0,1,300,0,300000,4.64,5.63,1.49,7.02,39.57,0.77,556.0,4.32,3.02,4.86,388,9.3,121.6,1,0,84.4,0.0,9.4,Moderate Risk,2,1
Moo-10063,4.0,4,233,0,48994,2.32,5.2,1.03,6.66,38.47,0.14,363.0,4.63,3.71,4.66,455,11.9,98.5,4,1,80.2,0.0,-1.0,No Risk,0,0
Moo-10064,4.0,5,95,0,31215,1.42,4.97,1.02,6.58,38.5,0.12,452.0,2.57,3.06,4.73,546,11.4,106.1,5,1,69.8,0.0,-1.0,No Risk,0,0
Moo-10065,5.0,1,142,4,793660,6.04,5.95,1.86,7.35,40.27,2.26,287.0,3.98,3.74,4.64,265,6.4,132.5,1,0,82.0,0.0,1.5,High Risk,3,1
Moo-10066,2.5,1,106,0,150000,3.22,5.04,1.25,6.69,38.93,0.37,468.0,2.69,2.92,4.88,438,11.0,108.4,3,1,79.0,0.0,13.1,Low Risk,1,0
Moo-10067,3.0,4,221,2,338138,4.7,5.36,1.38,7.01,39.48,0.98,408.0,2.92,3.29,4.96,356,11.2,124.0,4,1,75.0,0.0,9.9,Moderate Risk,2,1
Moo-10068,4.0,3,265,0,150000,3.1,4.92,1.21,6.61,38.98,0.37,244.0,4.19,4.33,4.37,391,11.6,109.2,4,1,80.8,6.9,13.2,Low Risk,1,0
Moo-10069,3.0,5,250,0,45342,1.46,5.04,1.11,6.64,38.57,0.2,505.0,4.6,3.43,4.85,467,11.3,96.0,4,1,73.9,2.3,-1.0,No Risk,0,0
Moo-10070,3.0,1,276,0,150000,3.31,5.03,1.15,6.68,38.52,0.44,353.0,3.44,3.34,4.99,389,11.3,103.9,4,1,71.1,3.0,13.6,Low Risk,1,0
Moo-10071,4.0,5,312,0,300000,3.8,5.69,1.34,6.97,39.27,1.07,424.0,3.9,3.25,4.82,441,9.4,138.0,1,0,77.3,0.0,6.7,Moderate Risk,2,1
Moo-10072,3.0,4,148,0,300000,3.98,5.53,1.4,6.95,39.13,0.89,267.0,4.66,3.82,4.77,325,9.5,103.8,2,0,79.6,11.3,8.8,Moderate Risk,2,1
Moo-10073,2.5,5,88,0,47505,1.87,4.79,1.1,6.64,38.49,0.16,315.0,4.07,3.48,4.6,535,11.7,106.3,4,1,78.2,0.6,-1.0,No Risk,0,0
Moo-10074,3.0,1,108,0,68841,2.4,4.78,1.11,6.64,38.76,0.2,157.0,4.33,3.66,5.01,442,11.1,106.3,5,1,76.2,0.0,-1.0,No Risk,0,0
Moo-10075,4.0,5,136,1,300000,4.47,5.19,1.4,7.14,38.96,0.84,277.0,4.01,3.66,4.65,365,10.2,135.1,2,1,75.9,0.0,8.8,Moderate Risk,2,1
Moo-10076,4.0,5,71,0,32602,0.97,4.57,1.09,6.54,38.94,0.18,314.0,3.55,3.11,4.81,499,12.0,104.6,4,1,75.1,0.0,-1.0,No Risk,0,0
Moo-10077,4.0,3,317,2,1046615,6.28,6.64,2.14,7.33,40.36,2.2,395.5,3.63,3.23,4.79,292,6.7,148.9,1,0,79.8,22.1,1.2,High Risk,3,1
Moo-10078,3.0,4,119,0,55058,2.09,4.48,1.09,6.54,38.91,0.18,241.0,3.51,3.04,4.78,458,11.8,104.4,5,1,73.0,1.2,-1.0,No Risk,0,0
Moo-10079,2.5,1,179,0,30261,1.17,4.72,1.09,6.57,38.9,0.08,388.0,3.43,3.08,5.12,454,11.9,102.5,3,1,73.3,0.0,-1.0,No Risk,0,0
Moo-10080,4.0,3,215,0,512148,5.33,5.12,1.47,6.89,39.35,0.85,231.0,4.35,3.95,4.59,428,8.7,130.7,1,0,84.7,0.0,6.5,Moderate Risk,2,1
Moo-10081,3.0,5,306,4,300000,4.09,5.46,1.46,7.1,38.85,0.82,295.5,4.3,3.79,4.77,386,9.6,144.5,1,0,77.5,0.0,9.5,Moderate Risk,2,1
Moo-10082,2.5,1,57,1,300000,3.82,5.09,1.54,6.98,39.23,0.66,274.0,1.92,3.26,4.71,402,9.6,132.7,1,0,74.1,0.0,6.5,Moderate Risk,2,1
Moo-10083,4.0,4,31,1,150000,3.33,5.03,1.27,6.72,38.48,0.39,456.0,3.88,3.6,5.01,449,11.7,100.9,3,1,77.2,0.0,11.3,Low Risk,1,0
Moo-10084,4.0,1,257,1,300000,4.38,5.63,1.32,6.94,39.5,0.85,301.0,4.22,3.73,4.76,392,8.5,125.3,2,1,78.5,0.0,7.2,Moderate Risk,2,1
Moo-10085,2.5,5,179,1,63972,2.29,4.7,1.07,6.59,38.22,0.06,363.0,4.97,3.8,4.76,485,11.4,101.8,5,1,76.5,0.8,-1.0,No Risk,0,0
Moo-10086,2.5,5,271,0,300000,3.8,5.65,1.35,6.88,38.85,0.89,295.0,4.05,3.75,4.78,395,10.1,119.0,1,0,71.9,20.3,6.8,Moderate Risk,2,1
Moo-10087,3.0,1,202,2,434994,5.03,5.14,1.43,6.78,39.09,1.09,269.0,3.63,3.58,4.96,368,8.1,122.8,3,1,74.1,0.0,8.5,Moderate Risk,2,1
Moo-10088,5.0,2,215,0,539746,5.28,5.35,1.45,6.78,39.55,0.81,214.0,4.53,3.84,4.63,388,9.9,123.8,1,1,76.8,17.4,6.8,Moderate Risk,2,1
Moo-10089,4.0,2,296,3,353973,4.6,5.39,1.4,6.9,39.72,1.1,221.0,5.15,3.99,4.69,368,9.9,113.8,3,0,72.4,24.1,7.5,Moderate Risk,2,1
Moo-10090,3.0,4,171,0,69679,2.25,4.86,1.02,6.56,38.78,0.14,371.0,4.12,3.61,4.89,496,11.3,112.1,3,0,74.5,16.1,-1.0,No Risk,0,0
Moo-10091,3.0,1,68,0,1357278,6.65,5.73,1.86,7.19,40.49,1.46,289.0,4.08,3.64,4.81,338,8.4,158.1,2,0,82.3,15.7,1.7,High Risk,3,1
Moo-10092,3.0,4,202,3,1568205,7.01,6.29,2.2,7.24,40.26,1.59,295.5,4.3,3.79,4.77,297,7.7,169.4,2,0,80.4,5.9,3.4,High Risk,3,1
Moo-10093,3.0,1,37,3,300000,4.18,5.11,1.54,6.89,39.23,0.75,286.0,4.29,3.78,4.81,364,9.3,133.2,3,1,81.8,31.4,8.5,Moderate Risk,2,1
Moo-10094,3.0,5,203,0,171488,3.69,5.1,1.17,6.74,39.0,0.43,383.0,4.45,3.62,4.98,446,10.0,105.8,3,1,76.2,0.0,13.0,Low Risk,1,0
Moo-10095,5.0,1,250,0,2839125,7.86,6.0,1.93,7.21,40.32,2.18,335.0,3.44,3.61,4.77,249,7.9,152.8,2,0,75.2,0.0,3.2,High Risk,3,1
Moo-10096,2.5,3,151,2,70525,2.52,4.73,1.11,6.62,38.5,0.06,412.0,3.46,3.08,4.97,465,11.9,99.3,4,1,75.6,0.0,-1.0,No Risk,0,0
Moo-10097,4.0,5,43,0,973803,6.2,5.76,2.1,7.32,40.1,1.71,235.5,4.37,3.74,4.69,250,7.5,163.1,1,0,76.5,0.0,1.3,High Risk,3,1
Moo-10098,2.5,2,137,2,1041835,6.25,5.97,2.12,7.21,39.75,2.11,367.0,3.48,3.22,4.61,298,8.5,135.3,2,0,77.3,8.9,1.4,High Risk,3,1
Moo-10099,4.0,5,70,1,58702,1.7,4.81,1.03,6.66,38.65,0.21,351.0,5.41,4.13,4.73,506,11.8,91.7,4,1,76.7,0.3,-1.0,No Risk,0,0
Moo-10100,4.0,5,55,1,31151,1.55,4.9,1.07,6.57,38.1,0.12,390.0,4.56,3.84,4.7,488,11.8,97.1,5,1,74.5,0.0,-1.0,No Risk,0,0
Moo-10101,2.5,5,215,0,300000,4.1,5.4,1.36,6.94,39.29,0.79,322.5,3.92,3.4,4.87,386,8.9,140.7,1,1,76.5,0.0,7.0,Moderate Risk,2,1
Moo-10102,3.0,2,180,0,393349,4.97,5.37,1.31,6.95,39.48,0.86,522.0,3.61,3.37,4.94,403,8.5,113.9,2,0,80.7,0.0,9.7,Moderate Risk,2,1
Moo-10103,3.0,2,76,2,1358976,6.78,5.72,2.01,7.23,40.6,2.16,380.0,4.0,3.24,4.8,208,9.2,161.2,1,0,80.6,0.0,2.7,High Risk,3,1
Moo-10104,3.0,2,162,0,34612,1.73,4.99,1.11,6.66,38.68,0.07,530.0,3.1,2.87,4.88,486,11.6,99.9,4,1,79.5,0.0,-1.0,No Risk,0,0
Moo-10105,4.0,5,197,1,1262432,6.72,5.81,2.02,7.1,40.38,1.89,435.0,3.62,3.0,4.82,355,7.3,138.2,2,0,75.6,6.5,3.4,High Risk,3,1
Moo-10106,4.0,3,120,0,750000,5.5,6.01,2.2,7.24,40.73,1.71,424.0,3.86,3.07,4.87,297,8.2,154.8,2,0,75.3,0.0,2.6,High Risk,3,1
Moo-10107,4.0,4,78,4,854242,6.18,6.23,2.24,7.21,40.37,1.62,276.5,4.27,3.83,4.69,274,7.5,152.2,1,1,79.9,0.0,3.4,High Risk,3,1
Moo-10108,2.5,3,175,0,879890,6.1,6.11,1.82,7.29,40.22,2.31,290.0,4.2,3.67,4.86,305,7.2,129.4,1,1,82.6,7.6,1.8,High Risk,3,1
Moo-10109,2.5,2,291,0,63852,2.43,4.74,1.06,6.64,38.79,0.16,350.0,5.22,3.41,4.88,476,10.8,107.5,5,1,73.6,0.0,-1.0,No Risk,0,0
Moo-10110,3.0,2,58,3,300000,4.37,5.46,1.51,7.03,39.29,0.79,289.0,4.08,3.64,4.81,419,9.8,105.6,1,0,79.0,35.8,6.9,Moderate Risk,2,1
Moo-10111,2.5,1,300,1,750000,5.5,5.61,2.1,7.38,39.91,1.76,311.0,3.68,3.33,4.75,300,8.4,146.3,3,0,70.2,8.3,3.3,High Risk,3,1
Moo-10112,4.0,2,180,0,150000,3.36,5.04,1.23,6.71,38.95,0.43,352.0,3.57,3.47,4.9,450,11.7,103.8,2,0,81.9,0.0,13.9,Low Risk,1,0
Moo-10113,3.0,4,220,1,304400,4.49,5.13,1.49,7.04,39.46,0.95,391.0,3.59,3.09,4.83,403,9.0,123.3,1,1,78.8,0.0,7.2,Moderate Risk,2,1
Moo-10114,3.0,5,95,0,34486,1.49,4.86,1.03,6.54,38.66,0.11,292.0,4.66,3.65,4.84,476,11.4,99.5,5,1,76.4,0.0,-1.0,No Risk,0,0
Moo-10115,3.0,5,161,1,1329047,6.81,5.7,2.34,7.09,40.03,2.28,286.0,4.29,3.78,4.81,236,8.1,150.9,1,0,77.8,45.8,2.2,High Risk,3,1
Moo-10116,3.0,3,36,0,562573,5.4,5.29,1.51,7.01,39.38,1.07,582.0,3.89,3.53,4.97,365,7.8,110.5,2,0,77.3,0.0,6.2,Moderate Risk,2,1
Moo-10117,4.0,5,269,4,300000,4.31,5.61,1.48,7.08,39.17,0.86,339.0,3.81,3.3,4.78,326,9.7,123.2,1,1,81.4,8.6,8.0,Moderate Risk,2,1
Moo-10118,2.5,5,124,2,304779,4.36,5.45,1.4,6.99,39.57,0.88,270.0,3.95,3.45,4.77,346,8.9,140.2,1,0,76.6,24.4,6.5,Moderate Risk,2,1
Moo-10119,3.0,2,232,0,40735,1.7,4.81,1.09,6.59,38.54,0.2,287.0,5.62,3.84,4.93,503,11.3,102.2,3,1,69.7,0.0,-1.0,No Risk,0,0
Moo-10120,4.0,1,42,0,74515,2.6,4.8,1.12,6.69,38.38,0.12,321.0,3.7,3.22,4.93,487,11.2,101.6,4,1,78.0,28.7,-1.0,No Risk,0,0
Moo-10121,2.5,3,145,0,25000,0.97,5.02,1.1,6.62,38.32,0.08,400.0,4.15,3.22,4.99,522,11.0,98.7,4,0,72.8,0.0,-1.0,No Risk,0,0
Moo-10122,3.0,3,253,0,55143,2.38,5.06,1.14,6.56,38.39,0.13,396.0,4.88,3.48,4.85,464,11.8,97.2,4,1,73.9,9.2,-1.0,No Risk,0,0
Moo-10123,5.0,3,61,1,339802,4.55,5.37,1.53,6.76,39.52,0.95,413.0,4.03,3.01,4.75,364,8.0,110.1,1,0,80.5,0.0,7.2,Moderate Risk,2,1
Moo-10124,3.0,2,269,0,26247,1.04,4.69,1.06,6.59,38.59,0.15,584.0,3.76,3.67,4.76,480,11.0,98.8,4,1,82.9,0.0,-1.0,No Risk,0,0
Moo-10125,4.0,3,166,0,410850,5.05,5.34,1.44,7.02,39.41,0.92,239.0,4.6,3.81,4.76,389,8.8,127.8,3,1,76.0,0.0,7.9,Moderate Risk,2,1
Moo-10126,3.0,2,279,0,150000,3.65,5.11,1.18,6.8,39.1,0.49,230.0,3.71,3.72,4.61,441,8.9,131.7,4,1,73.0,0.0,11.9,Low Risk,1,0
Moo-10127,4.0,5,241,0,31481,1.6,4.67,1.05,6.6,38.66,0.21,388.0,4.93,4.0,4.6,504,12.7,102.8,4,1,78.1,12.6,-1.0,No Risk,0,0
Moo-10128,4.0,3,94,0,158315,3.58,5.18,1.17,6.66,38.95,0.48,521.0,2.96,2.84,4.89,454,11.1,114.7,3,0,75.7,0.0,13.2,Low Risk,1,0
Moo-10129,4.0,3,309,0,58138,1.79,4.98,1.1,6.58,38.57,0.07,408.0,3.82,3.4,4.8,504,11.4,103.8,5,1,69.6,5.1,-1.0,No Risk,0,0
Moo-10130,2.5,3,73,0,150000,3.14,5.2,1.18,6.51,38.98,0.45,232.0,3.74,3.14,4.95,436,10.6,120.9,2,1,69.0,22.4,12.4,Low Risk,1,0
Moo-10131,4.0,4,260,0,61391,1.91,4.44,1.04,6.62,38.3,0.15,201.0,4.87,4.02,4.56,459,11.3,109.3,4,1,76.1,31.2,-1.0,No Risk,0,0
Moo-10132,3.0,1,198,0,44579,1.6,4.84,1.05,6.62,38.34,0.07,204.0,4.07,3.91,4.82,451,11.2,97.1,5,1,77.3,0.0,-1.0,No Risk,0,0
Moo-10133,4.0,5,220,1,36671,1.72,4.83,1.13,6.54,38.58,0.07,329.0,3.84,3.7,4.97,507,11.9,97.8,4,1,71.8,15.4,-1.0,No Risk,0,0
Moo-10134,2.5,5,119,0,51328,1.8,4.67,1.07,6.63,38.44,0.07,314.0,3.99,3.76,4.84,516,11.9,101.3,4,1,69.0,0.0,-1.0,No Risk,0,0
Moo-10135,3.0,1,137,0,1010035,6.24,5.51,2.09,7.26,39.95,1.99,425.0,3.72,3.24,4.84,337,8.7,137.3,1,0,79.2,2.1,1.3,High Risk,3,1
Moo-10136,3.0,2,138,0,51612,1.98,4.72,1.12,6.57,38.47,0.17,222.0,3.74,3.53,4.51,463,12.2,98.5,5,1,75.7,9.4,-1.0,No Risk,0,0
Moo-10137,2.5,4,145,0,32834,1.51,4.75,1.12,6.54,38.36,0.12,313.0,3.1,3.98,4.91,488,11.0,97.2,4,1,66.8,7.9,-1.0,No Risk,0,0
Moo-10138,2.5,4,138,1,71026,2.39,4.62,1.07,6.55,38.62,0.12,370.0,3.67,3.49,4.64,475,11.5,95.5,4,1,71.0,5.6,-1.0,No Risk,0,0
