Date,Day_Index,Animal_ID,Species,Breed,Age_Years,Parity,Days_In_Milk,Past_Mastitis_Episodes,Ambient_Temp_C,Humidity_Pct,THI_Index,Bedding_Hygiene_Score,Teat_Dip_Compliance,Milking_Vacuum_Status,EC_Front_Left,EC_Front_Right,EC_Rear_Left,EC_Rear_Right,Mean_EC,Quarter_Differential_Ratio,Milk_pH,Milk_Temperature_C,Milk_Yield_Liters,Rumination_Minutes,Lying_Hours,Optical_SCC_Proxy,Somatic_Cell_Count_Actual,Days_To_Clinical_Onset,Suspected_Quarter,Will_Develop_Mastitis_in_14Days,Risk_Tier_Label,Risk_Tier_Code
2026-01-20,19,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,105,1,29.07,61.25,78.72,3,1,Stable,5.128,4.791,4.902,5.113,4.983,1.07,6.616,38.67,12.53,484.5,11.5,1.618,66980,-1,None,0,No Risk,0
2026-01-21,20,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,106,1,35.85,72.97,90.8,4,1,Stable,5.108,5.228,4.667,4.896,4.975,1.12,6.662,38.61,12.78,465.0,11.7,1.551,45351,-1,None,0,No Risk,0
2026-01-22,21,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,107,1,33.06,59.42,84.03,3,1,Fluctuating,5.154,4.994,4.925,5.034,5.027,1.047,6.558,38.64,12.95,466.6,11.8,1.624,54959,-1,None,0,No Risk,0
2026-01-23,22,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,108,1,31.53,65.24,82.88,2,1,Fluctuating,5.109,5.005,4.806,5.029,4.987,1.063,6.591,38.4,12.69,479.0,11.4,1.591,44621,-1,None,0,No Risk,0
2026-01-24,23,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,109,1,29.81,48.93,77.89,2,1,Stable,5.196,5.013,4.849,4.875,4.983,1.071,6.603,38.38,12.75,470.6,11.6,1.691,74086,-1,None,0,No Risk,0
2026-01-25,24,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,110,1,30.84,63.37,81.57,3,1,Fluctuating,5.121,4.991,5.932,4.98,5.256,1.191,6.735,38.54,12.67,419.2,11.6,1.77,189836,14,RL,1,Low Risk,1
2026-01-26,25,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,111,1,32.78,53.79,82.62,3,1,Stable,5.073,4.929,5.777,4.911,5.172,1.176,6.739,38.7,12.85,408.5,11.2,1.827,336260,13,RL,1,Low Risk,1
2026-01-27,26,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,112,1,27.55,60.4,76.46,5,1,Stable,5.227,4.938,5.814,4.972,5.238,1.177,6.702,38.66,13.07,434.5,12.6,1.826,244234,12,RL,1,Low Risk,1
2026-01-28,27,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,113,1,28.09,55.09,76.5,4,0,Stable,5.113,4.927,6.014,4.918,5.243,1.223,6.759,38.59,12.82,452.6,12.3,1.775,284934,11,RL,1,Low Risk,1
2026-01-29,28,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,114,1,30.69,62.59,81.22,3,0,Stable,5.287,4.986,5.646,5.077,5.249,1.132,6.759,38.48,12.66,431.9,12.0,1.743,271334,10,RL,1,Low Risk,1
2026-01-30,29,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,115,1,27.23,63.51,76.4,4,1,Fluctuating,5.135,4.859,6.587,4.923,5.376,1.356,6.87,39.45,12.3,408.4,10.1,1.99,891819,9,RL,1,Moderate Risk,2
2026-01-31,30,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,116,1,35.48,55.35,86.57,1,0,Stable,5.149,4.971,7.099,4.969,5.547,1.429,6.888,39.66,11.27,409.2,9.2,1.931,812288,8,RL,1,Moderate Risk,2
2026-02-01,31,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,117,1,26.85,62.43,75.72,3,0,Stable,5.151,4.94,6.608,5.071,5.442,1.338,6.935,39.5,12.29,380.6,11.2,1.847,710452,7,RL,1,Moderate Risk,2
2026-02-02,32,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,118,1,28.7,52.39,76.94,3,0,Stable,5.198,4.98,7.302,4.957,5.609,1.473,7.021,39.43,11.57,397.7,10.0,1.991,791023,6,RL,1,Moderate Risk,2
2026-02-03,33,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,119,1,28.41,49.9,76.21,5,1,Stable,4.963,5.128,7.2,5.013,5.576,1.451,6.836,39.86,11.41,363.5,10.3,1.979,810285,5,RL,1,Moderate Risk,2
2026-02-04,34,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,120,1,29.04,60.82,78.61,4,0,Stable,5.187,4.865,6.709,5.012,5.443,1.379,6.896,39.68,11.14,395.9,10.5,1.976,641309,4,RL,1,Moderate Risk,2
2026-02-05,35,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,121,1,28.32,44.06,75.3,3,1,Stable,5.175,4.967,8.618,5.001,5.94,1.735,7.155,40.23,9.56,322.5,9.5,2.126,2336157,3,RL,1,High Risk,3
2026-02-06,36,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,122,1,34.75,47.97,84.09,3,0,Stable,5.241,5.128,7.671,5.088,5.782,1.507,7.064,40.34,10.41,301.0,7.6,2.063,1431827,2,RL,1,High Risk,3
2026-02-07,37,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,123,1,30.5,61.4,80.76,3,1,Stable,5.095,5.002,7.689,4.864,5.662,1.581,7.352,40.23,9.97,274.4,9.3,2.082,3011916,1,RL,1,High Risk,3
2026-02-08,38,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,124,1,18.2,57.29,63.17,1,0,Stable,5.039,4.99,8.71,5.036,5.944,1.745,7.171,40.02,10.24,334.3,8.4,2.047,2430660,0,RL,1,High Risk,3
2026-02-09,39,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,125,1,24.55,65.1,72.69,3,1,Stable,5.228,5.051,4.711,5.157,5.037,1.11,6.591,37.97,11.49,508.4,11.6,1.939,633745,-1,None,0,Moderate Risk,2
2026-02-10,40,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,126,1,25.42,60.33,73.45,3,0,Fluctuating,5.232,4.794,4.729,4.913,4.917,1.106,6.545,38.41,11.45,517.7,11.8,2.014,788325,-2,None,0,Moderate Risk,2
2026-02-11,41,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,127,1,29.48,59.81,79.08,5,0,Stable,5.062,4.987,4.734,5.018,4.95,1.069,6.608,38.73,11.18,466.1,12.3,1.911,634346,-3,None,0,Moderate Risk,2
2026-02-12,42,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,128,1,28.78,66.24,79.01,3,0,Stable,5.148,4.89,4.789,4.99,4.954,1.075,6.604,38.8,12.55,458.2,11.3,1.649,50639,-1,None,0,No Risk,0
2026-02-13,43,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,129,1,27.19,47.55,74.32,3,1,Fluctuating,5.226,4.978,4.896,4.962,5.016,1.068,6.656,38.26,13.37,499.5,11.7,1.587,78885,-1,None,0,No Risk,0
2026-02-14,44,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,130,1,22.46,50.36,68.5,3,1,Stable,5.108,5.06,4.757,5.079,5.001,1.074,6.638,38.31,13.46,484.7,11.7,1.645,73947,-1,None,0,No Risk,0
2026-02-15,45,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,131,1,26.71,59.22,75.13,3,0,Stable,5.124,4.87,4.802,4.982,4.945,1.067,6.563,38.56,12.82,482.6,11.6,1.612,38611,-1,None,0,No Risk,0
2026-02-16,46,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,132,1,22.91,51.2,69.15,1,1,Stable,5.11,4.915,4.844,5.044,4.978,1.055,6.622,38.46,13.67,466.1,11.8,1.744,106481,-1,None,0,No Risk,0
2026-02-17,47,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,133,1,29.06,67.66,79.64,1,1,Stable,5.343,4.91,4.762,4.898,4.978,1.122,6.621,38.53,13.1,468.4,11.7,1.544,43793,-1,None,0,No Risk,0
2026-02-18,48,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,134,1,23.02,77.68,71.55,4,1,Stable,5.216,4.964,4.588,5.067,4.959,1.137,6.643,38.35,13.81,500.8,11.0,1.647,65187,-1,None,0,No Risk,0
2026-02-19,49,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,135,1,17.13,66.78,61.95,4,1,Stable,5.039,5.176,4.739,4.909,4.966,1.092,6.654,38.26,13.37,456.3,11.7,1.576,53668,-1,None,0,No Risk,0
2026-02-20,50,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,136,1,24.76,68.06,73.31,4,1,Stable,5.115,4.897,4.739,5.027,4.945,1.079,6.629,38.35,13.25,483.3,11.8,1.579,53472,-1,None,0,No Risk,0
2026-02-21,51,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,137,1,28.71,59.99,78.03,2,0,Stable,5.094,5.006,4.831,4.863,4.949,1.054,6.55,38.68,12.82,467.7,12.8,1.496,57985,-1,None,0,No Risk,0
2026-02-22,52,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,138,1,34.97,81.44,91.17,4,1,Fluctuating,5.124,5.058,4.671,4.906,4.94,1.097,6.595,38.68,12.39,450.1,11.8,1.617,50691,-1,None,0,No Risk,0
2026-02-23,53,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,139,1,24.96,65.32,73.32,3,0,Stable,5.137,5.117,4.856,5.051,5.041,1.058,6.59,38.5,13.47,481.1,11.9,1.612,75122,-1,None,0,No Risk,0
2026-02-24,54,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,140,1,25.1,56.12,72.56,5,1,Stable,5.15,4.955,4.787,5.008,4.975,1.076,6.612,38.49,12.93,471.0,12.0,1.535,49730,-1,None,0,No Risk,0
2026-02-25,55,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,141,1,25.43,61.7,73.61,3,1,Stable,5.081,4.964,4.764,4.935,4.936,1.066,6.585,38.26,13.43,495.8,12.0,1.603,54299,-1,None,0,No Risk,0
2026-02-26,56,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,142,1,24.66,65.58,72.91,1,1,Fluctuating,5.296,4.909,4.654,5.074,4.983,1.138,6.565,38.32,13.26,496.2,11.6,1.718,95006,-1,None,0,No Risk,0
2026-02-27,57,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,143,1,25.17,75.47,74.7,4,0,Stable,5.154,4.941,4.915,4.874,4.971,1.057,6.612,38.42,13.09,461.6,12.2,1.633,66683,-1,None,0,No Risk,0
2026-02-28,58,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,144,1,32.3,89.57,88.3,2,1,Stable,5.122,4.873,4.761,4.965,4.93,1.076,6.561,38.61,12.12,449.4,12.2,1.563,39572,-1,None,0,No Risk,0
2026-03-01,59,IN-DAIRY-1000,Cattle,Jersey_Cross,7,3,145,1,23.04,72.97,71.18,2,1,Stable,5.291,5.125,4.76,4.989,5.042,1.112,6.609,38.46,13.37,478.1,12.2,1.509,41632,-1,None,0,No Risk,0
2026-01-01,0,IN-DAIRY-1001,Cattle,HF_Cross,8,4,162,0,34.44,82.86,90.59,4,1,Stable,4.667,4.851,5.1,5.146,4.941,1.103,6.561,38.77,17.8,456.2,12.4,1.614,77838,-1,None,0,No Risk,0
2026-01-02,1,IN-DAIRY-1001,Cattle,HF_Cross,8,4,163,0,30.67,84.14,84.66,4,1,Stable,4.635,4.805,4.994,5.025,4.865,1.084,6.578,38.86,18.33,459.0,11.7,1.615,51874,-1,None,0,No Risk,0
2026-01-03,2,IN-DAIRY-1001,Cattle,HF_Cross,8,4,164,0,24.2,72.62,72.92,3,0,Stable,4.793,4.88,5.048,5.066,4.947,1.057,6.6,38.54,18.07,486.0,11.6,1.674,63329,-1,None,0,No Risk,0
2026-01-04,3,IN-DAIRY-1001,Cattle,HF_Cross,8,4,165,0,34.32,74.62,88.79,4,0,Stable,4.735,4.722,4.952,4.976,4.846,1.054,6.588,38.53,17.5,464.2,12.1,1.623,66101,-1,None,0,No Risk,0
2026-01-05,4,IN-DAIRY-1001,Cattle,HF_Cross,8,4,166,0,31.68,78.64,85.38,2,1,Stable,4.737,4.741,5.122,4.986,4.897,1.081,6.534,38.7,17.76,447.3,12.1,1.651,53267,-1,None,0,No Risk,0
2026-01-06,5,IN-DAIRY-1001,Cattle,HF_Cross,8,4,167,0,33.47,76.18,87.76,1,1,Stable,4.807,4.738,5.113,5.084,4.936,1.079,6.564,38.72,17.92,462.0,11.8,1.545,54867,-1,None,0,No Risk,0
2026-01-07,6,IN-DAIRY-1001,Cattle,HF_Cross,8,4,168,0,30.87,70.25,82.72,5,1,Stable,4.737,4.825,4.853,5.147,4.891,1.087,6.599,38.65,17.49,464.5,12.1,1.594,75288,-1,None,0,No Risk,0
2026-01-08,7,IN-DAIRY-1001,Cattle,HF_Cross,8,4,169,0,37.32,76.49,93.85,4,0,Fluctuating,4.707,4.905,5.161,5.005,4.945,1.097,6.594,38.77,17.46,459.8,11.7,1.634,63218,-1,None,0,No Risk,0
2026-01-09,8,IN-DAIRY-1001,Cattle,HF_Cross,8,4,170,0,28.6,90.48,82.15,4,1,Stable,4.736,4.771,5.118,5.109,4.933,1.081,6.617,38.85,17.39,473.4,11.6,1.62,58921,-1,None,0,No Risk,0
2026-01-10,9,IN-DAIRY-1001,Cattle,HF_Cross,8,4,171,0,34.24,74.4,88.61,4,1,Stable,4.607,4.614,5.013,5.104,4.835,1.108,6.563,38.62,17.91,443.3,11.5,1.607,84450,-1,None,0,No Risk,0
2026-01-11,10,IN-DAIRY-1001,Cattle,HF_Cross,8,4,172,0,35.63,88.34,93.7,3,1,Fluctuating,4.893,4.634,4.953,5.062,4.885,1.092,6.599,38.81,18.15,503.2,12.2,1.54,32053,-1,None,0,No Risk,0
2026-01-12,11,IN-DAIRY-1001,Cattle,HF_Cross,8,4,173,0,33.41,76.14,87.65,1,0,Stable,4.707,4.669,5.015,4.901,4.823,1.074,6.593,38.56,18.39,481.1,11.4,1.629,58944,-1,None,0,No Risk,0
2026-01-13,12,IN-DAIRY-1001,Cattle,HF_Cross,8,4,174,0,30.92,61.79,81.42,2,1,Stable,4.603,4.697,5.11,4.853,4.816,1.11,6.588,38.81,18.31,473.2,11.7,1.602,61472,-1,None,0,No Risk,0
2026-01-14,13,IN-DAIRY-1001,Cattle,HF_Cross,8,4,175,0,31.57,74.6,84.51,4,0,Stable,4.749,4.641,5.176,4.956,4.881,1.115,6.56,38.83,18.08,462.4,12.0,1.584,68584,-1,None,0,No Risk,0
2026-01-15,14,IN-DAIRY-1001,Cattle,HF_Cross,8,4,176,0,38.4,66.09,93.08,1,1,Stable,4.734,4.796,5.117,4.965,4.903,1.081,6.61,38.74,18.61,464.6,11.7,1.522,44493,-1,None,0,No Risk,0
2026-01-16,15,IN-DAIRY-1001,Cattle,HF_Cross,8,4,177,0,28.88,71.08,79.85,5,1,Stable,4.595,4.592,5.162,5.068,4.854,1.124,6.598,38.59,17.32,471.1,11.4,1.65,114111,-1,None,0,No Risk,0
2026-01-17,16,IN-DAIRY-1001,Cattle,HF_Cross,8,4,178,0,31.24,69.24,83.12,3,1,Stable,4.585,4.772,5.151,4.821,4.832,1.123,6.631,38.63,17.89,472.2,12.2,1.566,63477,-1,None,0,No Risk,0
2026-01-18,17,IN-DAIRY-1001,Cattle,HF_Cross,8,4,179,0,32.8,74.31,86.37,2,1,Stable,4.636,4.752,5.211,4.956,4.889,1.124,6.539,38.7,17.74,486.3,11.2,1.634,61022,-1,None,0,No Risk,0
2026-01-19,18,IN-DAIRY-1001,Cattle,HF_Cross,8,4,180,0,33.12,78.67,87.67,3,1,Stable,4.697,4.802,5.161,4.917,4.894,1.099,6.548,38.8,16.86,446.6,10.9,1.617,61906,-1,None,0,No Risk,0
2026-01-20,19,IN-DAIRY-1001,Cattle,HF_Cross,8,4,181,0,40.26,67.8,96.24,5,0,Stable,4.674,4.839,5.13,5.028,4.918,1.097,6.57,38.63,17.28,459.0,11.6,1.688,73837,-1,None,0,No Risk,0
2026-01-21,20,IN-DAIRY-1001,Cattle,HF_Cross,8,4,182,0,32.79,68.22,85.25,4,1,Fluctuating,4.775,4.856,5.129,4.981,4.935,1.074,6.563,38.72,17.59,446.9,11.2,1.594,59500,-1,None,0,No Risk,0
2026-01-22,21,IN-DAIRY-1001,Cattle,HF_Cross,8,4,183,0,34.04,65.3,86.54,3,1,Stable,4.732,4.682,5.127,4.878,4.855,1.095,6.579,38.68,17.43,452.1,11.8,1.589,67617,-1,None,0,No Risk,0
2026-01-23,22,IN-DAIRY-1001,Cattle,HF_Cross,8,4,184,0,31.13,59.23,81.3,2,1,Stable,4.71,4.78,5.18,5.056,4.931,1.1,6.54,38.85,17.54,444.3,10.6,1.54,62326,-1,None,0,No Risk,0
2026-01-24,23,IN-DAIRY-1001,Cattle,HF_Cross,8,4,185,0,26.58,68.26,76.03,4,1,Stable,4.678,4.744,5.153,4.916,4.873,1.102,6.58,38.65,16.86,468.2,11.2,1.723,72387,-1,None,0,No Risk,0
2026-01-25,24,IN-DAIRY-1001,Cattle,HF_Cross,8,4,186,0,28.12,62.69,77.57,3,1,Stable,4.58,4.863,5.068,4.927,4.859,1.106,6.601,38.94,17.4,482.2,11.4,1.651,42490,-1,None,0,No Risk,0
2026-01-26,25,IN-DAIRY-1001,Cattle,HF_Cross,8,4,187,0,29.58,68.05,80.45,3,1,Stable,4.614,4.75,5.091,5.118,4.893,1.109,6.567,38.78,17.27,463.1,11.7,1.668,64525,-1,None,0,No Risk,0
2026-01-27,26,IN-DAIRY-1001,Cattle,HF_Cross,8,4,188,0,28.12,50.64,75.93,4,1,Stable,4.767,4.825,5.024,4.866,4.871,1.054,6.621,38.43,18.51,509.1,11.5,1.658,80533,-1,None,0,No Risk,0
2026-01-28,27,IN-DAIRY-1001,Cattle,HF_Cross,8,4,189,0,37.2,55.31,88.9,5,1,Stable,4.769,4.793,5.016,5.009,4.897,1.052,6.542,38.69,16.88,474.9,11.6,1.529,75505,-1,None,0,No Risk,0
2026-01-29,28,IN-DAIRY-1001,Cattle,HF_Cross,8,4,190,0,32.08,60.89,82.91,2,1,Stable,4.775,4.814,5.038,4.967,4.898,1.055,6.596,38.91,17.81,470.8,11.6,1.637,64657,-1,None,0,No Risk,0
2026-01-30,29,IN-DAIRY-1001,Cattle,HF_Cross,8,4,191,0,33.48,60.47,84.81,5,0,Stable,4.702,4.738,5.149,5.026,4.904,1.095,6.603,38.8,18.39,467.0,11.1,1.599,43294,-1,None,0,No Risk,0
2026-01-31,30,IN-DAIRY-1001,Cattle,HF_Cross,8,4,192,0,23.87,59.01,71.14,3,1,Fluctuating,4.763,4.734,4.986,4.963,4.862,1.053,6.631,38.51,18.38,473.8,11.4,1.579,82655,-1,None,0,No Risk,0
2026-02-01,31,IN-DAIRY-1001,Cattle,HF_Cross,8,4,193,0,30.5,67.39,81.72,3,1,Stable,4.594,4.657,5.048,4.914,4.803,1.099,6.591,38.81,16.82,454.3,10.8,1.643,51408,-1,None,0,No Risk,0
2026-02-02,32,IN-DAIRY-1001,Cattle,HF_Cross,8,4,194,0,33.81,51.32,83.52,1,1,Stable,4.914,4.7,5.099,5.103,4.954,1.086,6.612,38.87,17.69,496.7,12.5,1.611,52158,-1,None,0,No Risk,0
2026-02-03,33,IN-DAIRY-1001,Cattle,HF_Cross,8,4,195,0,26.72,50.36,74.06,1,1,Stable,4.785,4.8,4.862,5.044,4.873,1.054,6.577,38.37,18.36,480.1,11.3,1.524,59823,-1,None,0,No Risk,0
2026-02-04,34,IN-DAIRY-1001,Cattle,HF_Cross,8,4,196,0,28.55,61.18,77.97,3,1,Stable,5.482,4.715,5.171,5.131,5.125,1.163,6.695,38.64,16.35,459.5,11.5,1.825,339915,14,FL,1,Low Risk,1
2026-02-05,35,IN-DAIRY-1001,Cattle,HF_Cross,8,4,197,0,28.8,54.77,77.41,3,1,Stable,5.886,4.887,5.217,4.944,5.233,1.204,6.69,38.65,16.96,431.4,11.8,1.822,191722,13,FL,1,Low Risk,1
2026-02-06,36,IN-DAIRY-1001,Cattle,HF_Cross,8,4,198,0,28.29,54.35,76.67,2,1,Stable,5.856,4.743,5.024,4.786,5.103,1.235,6.681,38.72,17.1,446.4,12.0,1.703,188883,12,FL,1,Low Risk,1
2026-02-07,37,IN-DAIRY-1001,Cattle,HF_Cross,8,4,199,0,28.58,45.36,75.8,5,1,Stable,5.623,4.68,5.1,5.072,5.119,1.201,6.716,38.5,17.35,437.2,11.7,1.744,193893,11,FL,1,Low Risk,1
2026-02-08,38,IN-DAIRY-1001,Cattle,HF_Cross,8,4,200,0,25.21,72.08,74.4,3,1,Stable,5.454,4.731,5.194,4.928,5.077,1.153,6.725,38.36,17.93,432.0,11.5,1.855,329231,10,FL,1,Low Risk,1
2026-02-09,39,IN-DAIRY-1001,Cattle,HF_Cross,8,4,201,0,26.15,55.58,73.93,5,1,Stable,6.931,4.685,5.05,5.072,5.435,1.479,6.9,39.26,17.04,382.5,9.2,1.984,617783,9,FL,1,Moderate Risk,2
2026-02-10,40,IN-DAIRY-1001,Cattle,HF_Cross,8,4,202,0,28.47,52.8,76.7,5,1,Fluctuating,7.061,4.669,5.118,5.145,5.498,1.512,6.864,40.11,15.07,358.8,10.3,1.963,767355,8,FL,1,Moderate Risk,2
2026-02-11,41,IN-DAIRY-1001,Cattle,HF_Cross,8,4,203,0,24.93,70.79,73.84,4,1,Stable,6.631,4.722,5.098,5.086,5.384,1.404,6.943,39.68,14.73,394.7,10.7,1.947,855537,7,FL,1,Moderate Risk,2
2026-02-12,42,IN-DAIRY-1001,Cattle,HF_Cross,8,4,204,0,23.82,53.48,70.55,3,1,Stable,6.918,4.825,5.05,5.012,5.451,1.434,6.913,39.24,16.08,417.5,9.0,1.949,438302,6,FL,1,Moderate Risk,2
2026-02-13,43,IN-DAIRY-1001,Cattle,HF_Cross,8,4,205,0,28.37,41.66,75.03,2,1,Stable,6.262,4.76,5.112,5.019,5.288,1.316,6.85,39.48,16.78,413.1,9.8,2.032,645880,5,FL,1,Moderate Risk,2
