"herd","timepoint","breed","quarter","cow_nid","parity","calving_date","DIM","SCC","DSCC","treatment","yield_tot","log_scc"
"castello","1","holstein",3,"castello_9619","4",2019-09-28,273,418,68.5,"antibiotico",10049,6.03548143252476
"castello","1","holstein",4,"castello_9619","4",2019-09-28,273,485,76.6,"antibiotico",10049,6.18414889093748
"castello","1","holstein",1,"castello_1522","2",2019-10-29,274,58,82.7,"antibiotico",NA,4.06044301054642
"castello","1","holstein",2,"castello_1522","2",2019-10-29,274,18,69.1,"antibiotico",NA,2.89037175789616
"castello","1","holstein",3,"castello_1522","2",2019-10-29,274,142,76.8,"antibiotico",NA,4.95582705760126
"castello","1","holstein",4,"castello_1522","2",2019-10-29,274,16,80.7,"antibiotico",NA,2.77258872223978
"castello","1","holstein",1,"castello_1479","2",2019-10-07,275,149,68.8,"sigillante",7224,5.00394630594546
"castello","1","holstein",2,"castello_1479","2",2019-10-07,275,13,17.6,"sigillante",7224,2.56494935746154
"castello","1","holstein",3,"castello_1479","2",2019-10-07,275,57,62.5,"sigillante",7224,4.04305126783455
"castello","1","holstein",4,"castello_1479","2",2019-10-07,275,48,63.5,"sigillante",7224,3.87120101090789
"castello","1","holstein",1,"castello_1397","2",NA,279,73,77.3,"sigillante",7725,4.29045944114839
"castello","1","holstein",2,"castello_1397","2",NA,279,13,39.1,"sigillante",7725,2.56494935746154
"castello","1","holstein",3,"castello_1397","2",NA,279,60,63.2,"sigillante",7725,4.0943445622221
"castello","1","holstein",4,"castello_1397","2",NA,279,10,34.8,"sigillante",7725,2.30258509299405
"castello","1","holstein",1,"castello_1446","2",2019-09-24,279,29,59.2,"sigillante",9249,3.36729582998647
"castello","1","holstein",2,"castello_1446","2",2019-09-24,279,42,66.1,"sigillante",9249,3.73766961828337
"castello","1","holstein",3,"castello_1446","2",2019-09-24,279,76,60,"sigillante",9249,4.33073334028633
"castello","1","holstein",4,"castello_1446","2",2019-09-24,279,65,67.7,"sigillante",9249,4.17438726989564
"castello","1","holstein",1,"castello_6353","4",2019-01-31,282,3835,70.6,"antibiotico",NA,8.25192471380136
"castello","1","holstein",2,"castello_6353","4",2019-01-31,282,2109,61.1,"antibiotico",NA,7.65396918047877
"castello","1","holstein",3,"castello_6353","4",2019-01-31,282,4745,69.1,"antibiotico",NA,8.46484671104403
"castello","1","holstein",4,"castello_6353","4",2019-01-31,282,4839,66,"antibiotico",NA,8.48446336679332
"castello","1","holstein",1,"castello_1070","3",2019-01-30,283,251,69.5,"antibiotico",8942,5.52545293913178
"castello","1","holstein",2,"castello_1070","3",2019-01-30,283,150,65.2,"antibiotico",8942,5.01063529409626
"castello","1","holstein",3,"castello_1070","3",2019-01-30,283,137,67.4,"antibiotico",8942,4.91998092582813
"castello","1","holstein",4,"castello_1070","3",2019-01-30,283,947,68.9,"antibiotico",8942,6.85329909318608
"castello","1","holstein",1,"castello_6380","4",2019-01-30,283,821,52.2,"antibiotico",6893,6.71052310945243
"castello","1","holstein",2,"castello_6380","4",2019-01-30,283,1831,40.1,"antibiotico",6893,7.51261754467451
"castello","1","holstein",3,"castello_6380","4",2019-01-30,283,2109,64.1,"antibiotico",6893,7.65396918047877
"castello","1","holstein",4,"castello_6380","4",2019-01-30,283,247,55.5,"antibiotico",6893,5.50938833662798
"castello","1","holstein",1,"castello_6790","2",2019-01-23,284,67,76.9,"antibiotico",4902,4.20469261939097
"castello","1","holstein",2,"castello_6790","2",2019-01-23,284,66,75.5,"antibiotico",4902,4.18965474202643
"castello","1","holstein",3,"castello_6790","2",2019-01-23,284,86,62.3,"antibiotico",4902,4.45434729625351
"castello","1","holstein",4,"castello_6790","2",2019-01-23,284,78,73.2,"antibiotico",4902,4.35670882668959
"castello","1","holstein",1,"castello_1372","2",2019-09-05,285,96,61,"sigillante",7903,4.56434819146784
"castello","1","holstein",2,"castello_1372","2",2019-09-05,285,132,56,"sigillante",7903,4.88280192258637
"castello","1","holstein",3,"castello_1372","2",2019-09-05,285,142,63.5,"sigillante",7903,4.95582705760126
"castello","1","holstein",4,"castello_1372","2",2019-09-05,285,206,62.6,"antibiotico",7903,5.32787616878958
"castello","1","holstein",1,"castello_6330","4",2019-01-20,285,409,59.1,"antibiotico",NA,6.0137151560428
"castello","1","holstein",2,"castello_6330","4",2019-01-20,285,1713,52.5,"antibiotico",NA,7.44600149832412
"castello","1","holstein",3,"castello_6330","4",2019-01-20,285,718,56.8,"antibiotico",NA,6.57646956904822
"castello","1","holstein",1,"castello_6456","4",2019-10-10,285,2733,59.5,"antibiotico",6706,7.91315518592807
"castello","1","holstein",2,"castello_6456","4",2019-10-10,285,1139,67.7,"antibiotico",6706,7.03790596344718
"castello","1","holstein",3,"castello_6456","4",2019-10-10,285,2014,59.3,"antibiotico",6706,7.60787807327851
"castello","1","holstein",4,"castello_6456","4",2019-10-10,285,1697,60.9,"antibiotico",6706,7.43661726523423
"castello","1","holstein",2,"castello_9895","3",2019-07-07,285,791,64.2,"antibiotico",6292,6.67329796776765
"castello","1","holstein",3,"castello_9895","3",2019-07-07,285,487,69.4,"antibiotico",6292,6.18826412308259
"castello","1","holstein",4,"castello_9895","3",2019-07-07,285,152,56.4,"antibiotico",6292,5.02388052084628
"castello","1","holstein",2,"castello_1277","2",2019-01-20,286,44,37.8,"antibiotico",NA,3.78418963391826
"castello","1","holstein",3,"castello_1277","2",2019-01-20,286,85,36.8,"antibiotico",NA,4.44265125649032
"castello","1","holstein",4,"castello_1277","2",2019-01-20,286,271,55.1,"antibiotico",NA,5.6021188208797
"castello","1","holstein",1,"castello_1302","2",2019-01-31,286,25,53.9,"sigillante",10197,3.2188758248682
"castello","1","holstein",2,"castello_1302","2",2019-01-31,286,185,72.2,"antibiotico",10197,5.22035582507832
"castello","1","holstein",3,"castello_1302","2",2019-01-31,286,21,55.3,"sigillante",10197,3.04452243772342
"castello","1","holstein",4,"castello_1302","2",2019-01-31,286,11,43.4,"sigillante",10197,2.39789527279837
"castello","1","holstein",1,"castello_1393","2",2019-09-13,286,11,33.3,"antibiotico",7904,2.39789527279837
"castello","1","holstein",2,"castello_1393","2",2019-09-13,286,55,74.7,"antibiotico",7904,4.00733318523247
"castello","1","holstein",3,"castello_1393","2",2019-09-13,286,78,81.5,"antibiotico",7904,4.35670882668959
"castello","1","holstein",4,"castello_1393","2",2019-09-13,286,149,75.3,"antibiotico",7904,5.00394630594546
"castello","1","holstein",1,"castello_1703","2",2020-03-01,286,75,63.6,"antibiotico",10585,4.31748811353631
"castello","1","holstein",2,"castello_1703","2",2020-03-01,286,162,75.1,"antibiotico",10585,5.08759633523238
"castello","1","holstein",3,"castello_1703","2",2020-03-01,286,15,25.2,"antibiotico",10585,2.70805020110221
"castello","1","holstein",4,"castello_1703","2",2020-03-01,286,129,82.2,"antibiotico",10585,4.85981240436167
"castello","1","holstein",1,"castello_6578","3",2019-01-28,286,588,40.5,"antibiotico",8834,6.37672694789863
"castello","1","holstein",2,"castello_6578","3",2019-01-28,286,72,44.9,"antibiotico",8834,4.27666611901606
"castello","1","holstein",3,"castello_6578","3",2019-01-28,286,87,49.7,"antibiotico",8834,4.46590811865458
"castello","1","holstein",4,"castello_6578","3",2019-01-28,286,219,66.2,"antibiotico",8834,5.3890717298165
"castello","1","holstein",1,"castello_6599","3",2019-01-29,286,1384,51.2,"antibiotico",5999,7.23273313617761
"castello","1","holstein",2,"castello_6599","3",2019-01-29,286,740,56.6,"antibiotico",5999,6.60665018619822
"castello","1","holstein",3,"castello_6599","3",2019-01-29,286,632,52.1,"antibiotico",5999,6.44888939414686
"castello","1","holstein",4,"castello_6599","3",2019-01-29,286,445,53.1,"antibiotico",5999,6.09807428216624
"castello","1","holstein",1,"castello_6693","3",2019-09-19,286,25,49.7,"antibiotico",5630,3.2188758248682
"castello","1","holstein",2,"castello_6693","3",2019-09-19,286,59,48.2,"antibiotico",5630,4.07753744390572
"castello","1","holstein",3,"castello_6693","3",2019-09-19,286,47,62.8,"antibiotico",5630,3.85014760171006
"castello","1","holstein",4,"castello_6693","3",2019-09-19,286,126,84.3,"antibiotico",5630,4.83628190695148
"castello","1","holstein",1,"castello_1017","3",2019-01-27,287,26,45.1,"antibiotico",8420,3.25809653802148
"castello","1","holstein",2,"castello_1017","3",2019-01-27,287,26,43.2,"antibiotico",8420,3.25809653802148
"castello","1","holstein",4,"castello_1017","3",2019-01-27,287,17,40.2,"antibiotico",8420,2.83321334405622
"castello","1","holstein",1,"castello_9962","4",2019-09-02,287,539,37.1,"antibiotico",7881,6.289715570909
"castello","1","holstein",3,"castello_9962","4",2019-09-02,287,907,63.1,"antibiotico",7881,6.81014245011514
"castello","1","holstein",4,"castello_9962","4",2019-09-02,287,403,75.4,"antibiotico",7881,5.99893656194668
"castello","1","holstein",1,"castello_3119","2",2020-02-08,288,420,46.9,"antibiotico",8052,6.04025471127741
"castello","1","holstein",2,"castello_3119","2",2020-02-08,288,1889,68.8,"antibiotico",8052,7.54380286750151
"castello","1","holstein",3,"castello_3119","2",2020-02-08,288,199,47,"antibiotico",8052,5.29330482472449
"castello","1","holstein",4,"castello_3119","2",2020-02-08,288,239,53.8,"antibiotico",8052,5.47646355193151
"castello","1","holstein",1,"castello_6401","4",2019-03-26,288,1017,64.1,"antibiotico",NA,6.92461239604856
"castello","1","holstein",2,"castello_6401","4",2019-03-26,288,659,58.4,"antibiotico",NA,6.49072353450251
"castello","1","holstein",3,"castello_6401","4",2019-03-26,288,140,63.5,"antibiotico",NA,4.9416424226093
"castello","1","holstein",4,"castello_6401","4",2019-03-26,288,188,64.2,"antibiotico",NA,5.23644196282995
"castello","1","holstein",1,"castello_6568","3",2019-01-27,288,123,53.1,"antibiotico",NA,4.81218435537242
"castello","1","holstein",2,"castello_6568","3",2019-01-27,288,593,61.7,"antibiotico",NA,6.38519439899773
"castello","1","holstein",3,"castello_6568","3",2019-01-27,288,8768,76.7,"antibiotico",NA,9.0788640091878
"castello","1","holstein",4,"castello_6568","3",2019-01-27,288,145,65.4,"antibiotico",NA,4.97673374242057
"castello","1","holstein",1,"castello_6650","3",2019-07-27,288,1326,58.7,"antibiotico",6374,7.18992217074581
"castello","1","holstein",2,"castello_6650","3",2019-07-27,288,2565,59.4,"antibiotico",6374,7.84971375760487
"castello","1","holstein",3,"castello_6650","3",2019-07-27,288,816,58,"antibiotico",6374,6.70441435496411
"castello","1","holstein",1,"castello_9845","4",2019-11-27,288,337,66.3,"antibiotico",NA,5.82008293035236
"castello","1","holstein",2,"castello_9845","4",2019-11-27,288,210,62.7,"antibiotico",NA,5.34710753071747
"castello","1","holstein",3,"castello_9845","4",2019-11-27,288,16,51.9,"antibiotico",NA,2.77258872223978
"castello","1","holstein",4,"castello_9845","4",2019-11-27,288,26,60.2,"antibiotico",NA,3.25809653802148
"castello","1","holstein",1,"castello_6433","4",2019-11-13,289,206,53.9,"antibiotico",NA,5.32787616878958
"castello","1","holstein",2,"castello_6433","4",2019-11-13,289,618,60.8,"antibiotico",NA,6.42648845745769
"castello","1","holstein",3,"castello_6433","4",2019-11-13,289,163,53.1,"antibiotico",NA,5.09375020080676
"castello","1","holstein",4,"castello_6433","4",2019-11-13,289,133,49.8,"antibiotico",NA,4.89034912822175
"castello","1","holstein",1,"castello_6628","3",2019-08-06,289,180,54.1,"sigillante",9678,5.19295685089021
"castello","1","holstein",2,"castello_6628","3",2019-08-06,289,192,40.5,"sigillante",9678,5.25749537202778
"castello","1","holstein",3,"castello_6628","3",2019-08-06,289,192,53.9,"sigillante",9678,5.25749537202778
"castello","1","holstein",4,"castello_6628","3",2019-08-06,289,99,55.2,"sigillante",9678,4.59511985013459
"castello","1","holstein",1,"castello_6670","3",2019-09-30,289,204,72.3,"antibiotico",8353,5.31811999384422
"castello","1","holstein",2,"castello_6670","3",2019-09-30,289,128,60.6,"antibiotico",8353,4.85203026391962
"castello","1","holstein",3,"castello_6670","3",2019-09-30,289,216,65,"antibiotico",8353,5.37527840768417
"castello","1","holstein",4,"castello_6670","3",2019-09-30,289,256,68.9,"antibiotico",8353,5.54517744447956
"castello","1","holstein",1,"castello_1320","2",2019-04-14,290,998,47.7,"antibiotico",6453,6.90575327631146
"castello","1","holstein",2,"castello_1320","2",2019-04-14,290,109,66.3,"sigillante",6453,4.69134788222914
"castello","1","holstein",3,"castello_1320","2",2019-04-14,290,2486,50.2,"antibiotico",6453,7.81843027207066
"castello","1","holstein",4,"castello_1320","2",2019-04-14,290,98,64.1,"sigillante",6453,4.58496747867057
"castello","1","holstein",1,"castello_1428","2",2019-09-10,290,1969,68.1,"antibiotico",9040,7.58528107863913
"castello","1","holstein",2,"castello_1428","2",2019-09-10,290,33,41.2,"antibiotico",9040,3.49650756146648
"castello","1","holstein",3,"castello_1428","2",2019-09-10,290,22,21.1,"antibiotico",9040,3.09104245335832
"castello","1","holstein",4,"castello_1428","2",2019-09-10,290,1014,69.6,"antibiotico",9040,6.92165818415113
"castello","1","holstein",1,"castello_6427","4",2019-07-27,290,99,24.4,"antibiotico",7072,4.59511985013459
"castello","1","holstein",2,"castello_6427","4",2019-07-27,290,210,30.3,"antibiotico",7072,5.34710753071747
"castello","1","holstein",3,"castello_6427","4",2019-07-27,290,75,36.1,"antibiotico",7072,4.31748811353631
"castello","1","holstein",4,"castello_6427","4",2019-07-27,290,72,34.8,"antibiotico",7072,4.27666611901606
"castello","1","holstein",1,"castello_6672","3",2019-09-16,290,336,73,"antibiotico",11621,5.8171111599632
"castello","1","holstein",2,"castello_6672","3",2019-09-16,290,134,64.7,"antibiotico",11621,4.89783979995091
"castello","1","holstein",3,"castello_6672","3",2019-09-16,290,465,71.7,"antibiotico",11621,6.14203740558736
"castello","1","holstein",4,"castello_6672","3",2019-09-16,290,359,74,"antibiotico",11621,5.88332238848828
"castello","1","holstein",1,"castello_6746","3",2019-12-12,290,7942,65.7,"antibiotico",NA,8.9799204116912
"castello","1","holstein",3,"castello_6746","3",2019-12-12,290,2176,67.8,"antibiotico",NA,7.68524360797583
"castello","1","holstein",4,"castello_6746","3",2019-12-12,290,1161,74.1,"antibiotico",NA,7.05703698169789
"castello","1","holstein",1,"castello_6765","2",2019-01-16,290,179,65.7,"antibiotico",7371,5.18738580584075
"castello","1","holstein",3,"castello_6765","2",2019-01-16,290,239,66.8,"antibiotico",7371,5.47646355193151
"castello","1","holstein",4,"castello_6765","2",2019-01-16,290,190,67.6,"antibiotico",7371,5.24702407216049
"castello","1","holstein",1,"castello_9797","4",2019-07-25,290,812,53.6,"antibiotico",8094,6.69950034016168
"castello","1","holstein",2,"castello_9797","4",2019-07-25,290,1202,45.1,"antibiotico",8094,7.09174211509515
"castello","1","holstein",1,"castello_9798","4",2019-07-16,290,47,51.9,"sigillante",10064,3.85014760171006
"castello","1","holstein",2,"castello_9798","4",2019-07-16,290,261,75.5,"antibiotico",10064,5.56452040732269
"castello","1","holstein",3,"castello_9798","4",2019-07-16,290,70,55.6,"sigillante",10064,4.24849524204936
"castello","1","holstein",4,"castello_9798","4",2019-07-16,290,66,51.1,"sigillante",10064,4.18965474202643
"castello","1","holstein",1,"castello_1134","3",2019-10-27,291,418,74.1,"antibiotico",NA,6.03548143252476
"castello","1","holstein",2,"castello_1134","3",2019-10-27,291,70,56.1,"antibiotico",NA,4.24849524204936
"castello","1","holstein",3,"castello_1134","3",2019-10-27,291,266,72.2,"antibiotico",NA,5.5834963087817
"castello","1","holstein",4,"castello_1134","3",2019-10-27,291,600,68.6,"antibiotico",NA,6.39692965521615
"castello","1","holstein",1,"castello_1286","2",2019-03-10,291,10,38.8,"sigillante",3137,2.30258509299405
"castello","1","holstein",2,"castello_1286","2",2019-03-10,291,15,52.4,"sigillante",3137,2.70805020110221
"castello","1","holstein",3,"castello_1286","2",2019-03-10,291,6,40.5,"sigillante",3137,1.79175946922805
"castello","1","holstein",4,"castello_1286","3",2019-03-10,291,9,31.6,"sigillante",NA,2.19722457733622
"castello","1","holstein",1,"castello_1318","2",2019-05-18,291,2852,72,"antibiotico",11688,7.95577578153419
"castello","1","holstein",2,"castello_1318","2",2019-05-18,291,998,53.6,"antibiotico",11688,6.90575327631146
"castello","1","holstein",3,"castello_1318","2",2019-05-18,291,208,71.1,"antibiotico",11688,5.33753807970132
"castello","1","holstein",4,"castello_1318","2",2019-05-18,291,172,62.7,"antibiotico",11688,5.14749447681345
"castello","1","holstein",1,"castello_1340","2",2019-05-07,291,19,36.4,"sigillante",11194,2.94443897916644
"castello","1","holstein",2,"castello_1340","2",2019-05-07,291,11,48,"sigillante",11194,2.39789527279837
"castello","1","holstein",3,"castello_1340","2",2019-05-07,291,21,50,"sigillante",11194,3.04452243772342
"castello","1","holstein",4,"castello_1340","2",2019-05-07,291,16,56.7,"sigillante",11194,2.77258872223978
"castello","1","holstein",1,"castello_1435","2",2019-08-10,291,353,61.7,"antibiotico",11423,5.8664680569333
"castello","1","holstein",2,"castello_1435","2",2019-08-10,291,335,68,"antibiotico",11423,5.81413053182507
"castello","1","holstein",3,"castello_1435","2",2019-08-10,291,1163,73.4,"antibiotico",11423,7.05875815251866
"castello","1","holstein",4,"castello_1435","2",2019-08-10,291,815,73.6,"antibiotico",11423,6.70318811324086
"castello","1","holstein",1,"castello_1468","2",2019-09-09,291,458,68,"antibiotico",11288,6.12686918411419
"castello","1","holstein",2,"castello_1468","2",2019-09-09,291,187,71.5,"sigillante",11288,5.23110861685459
"castello","1","holstein",3,"castello_1468","2",2019-09-09,291,17,40.9,"sigillante",11288,2.83321334405622
"castello","1","holstein",4,"castello_1468","2",2019-09-09,291,266,69.9,"antibiotico",11288,5.5834963087817
"castello","1","holstein",1,"castello_6792","2",2019-03-19,291,336,53.1,"antibiotico",NA,5.8171111599632
"castello","1","holstein",2,"castello_6792","2",2019-03-19,291,147,57.2,"sigillante",NA,4.99043258677874
"castello","1","holstein",3,"castello_6792","2",2019-03-19,291,89,57.6,"sigillante",NA,4.48863636973214
"castello","1","holstein",4,"castello_6792","2",2019-03-19,291,229,57.4,"antibiotico",NA,5.43372200355424
"castello","1","holstein",1,"castello_6895","2",2019-06-26,291,65,25.8,"antibiotico",7774,4.17438726989564
"castello","1","holstein",2,"castello_6895","2",2019-06-26,291,1023,50.2,"antibiotico",7774,6.93049476595163
"castello","1","holstein",3,"castello_6895","2",2019-06-26,291,76,53.1,"antibiotico",7774,4.33073334028633
"castello","1","holstein",4,"castello_6895","2",2019-06-26,291,111,55.9,"antibiotico",7774,4.70953020131233
"castello","1","holstein",1,"castello_9449","4",2019-03-12,291,476,60,"antibiotico",9238,6.16541785423142
"castello","1","holstein",2,"castello_9449","4",2019-03-12,291,574,49,"antibiotico",9238,6.35262939631957
"castello","1","holstein",3,"castello_9449","4",2019-03-12,291,246,40.7,"antibiotico",9238,5.50533153593236
"castello","1","holstein",4,"castello_9449","4",2019-03-12,291,1502,56.6,"antibiotico",9238,7.31455283232408
"castello","1","holstein",1,"castello_1135","3",2019-07-26,292,4140,67.2,"antibiotico",4987,8.32845106681936
"castello","1","holstein",2,"castello_1135","3",2019-07-26,292,1086,59.2,"antibiotico",4987,6.99025650049388
"castello","1","holstein",4,"castello_1135","3",2019-07-26,292,549,59.8,"antibiotico",4987,6.30809844150953
"castello","1","holstein",1,"castello_1267","2",2019-07-04,292,24,43.9,"antibiotico",8318,3.17805383034795
"castello","1","holstein",2,"castello_1267","2",2019-07-04,292,2726,84.1,"antibiotico",8318,7.91059061225648
"castello","1","holstein",3,"castello_1267","2",2019-07-04,292,81,63.3,"antibiotico",8318,4.39444915467244
"castello","1","holstein",4,"castello_1267","2",2019-07-04,292,28,43.5,"antibiotico",8318,3.3322045101752
